"1331JurjiZaydan_AbuMuslimKhurasani" "1331JurjiZaydan_AhmadIbnTulun" "1331JurjiZaydan_AminWaMamun" "1331JurjiZaydan_ArmanusaMisriyya" "1331JurjiZaydan_AsirMutamahdi" "1331JurjiZaydan_CabbasaUkhtRashid" "1331JurjiZaydan_CabdRahmanNasir" "1331JurjiZaydan_CadhraQuraysh" "1331JurjiZaydan_CarusFarghana" "1331JurjiZaydan_FatatGhassan" "1331JurjiZaydan_FatatQayruwan" "1331JurjiZaydan_FathAndalus" "1331JurjiZaydan_GhadatKarbala" "1331JurjiZaydan_HajjajIbnYusuf" "1331JurjiZaydan_InqilabCuthmani" "1331JurjiZaydan_IstibdadMamalik" "1331JurjiZaydan_JihadMuhibbin" "1331JurjiZaydan_MamlukSharid" "1331JurjiZaydan_Ramadan17" "1331JurjiZaydan_SalahDinAyyubi" "1331JurjiZaydan_ShajaratDurr" "1331JurjiZaydan_SharlWaCabdRahman" "1342MustafaLutfiManfaluti_Cabarat" "1342MustafaLutfiManfaluti_Fadila" "1342MustafaLutfiManfaluti_FiSabilTaj" "1342MustafaLutfiManfaluti_Majdulin" "1342MustafaLutfiManfaluti_Shacir" "1349JibranKhalilJibran_AjnihaMutakassira" "1349JibranKhalilJibran_ArwahMutamarrida" "1368CaliJarim_FarisBaniHamdan" "1368CaliJarim_FarisMulaththam" "1368CaliJarim_GhadatRashid" "1368CaliJarim_HatifMinAndalus" "1368CaliJarim_KhatimatMataf" "1368CaliJarim_MarahWalid" "1368CaliJarim_SahmMasmum" "1368CaliJarim_SayyidatQusur" "1368CaliJarim_ShacirMalik" "1368CaliJarim_ShacirTamuh" "1368IbrahimCabdQadirMazini_CaMashi" "1368IbrahimCabdQadirMazini_CawdIlaBad" "1368IbrahimCabdQadirMazini_FiTariq" "1368IbrahimCabdQadirMazini_IbrahimKatib" "1368IbrahimCabdQadirMazini_IbrahimThani" "1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa" "1373NiqulaHaddad_AdamJadid" "1373NiqulaHaddad_AsrarMisr" "1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa" "1373NiqulaHaddad_FatinatImbaratur" "1373NiqulaHaddad_HaqibaZarqa" "1373NiqulaHaddad_HawaJadida" "1373NiqulaHaddad_HukarMuhtalAmrikiCaziz" "1373NiqulaHaddad_ThawraFiJahannam" "1373NiqulaHaddad_WadacanAyyuhaMashriq" "1375MuhammadHusaynHaykal_HakadhaKhuliqat" "1375MuhammadHusaynHaykal_QisasMisriyya" "1375MuhammadHusaynHaykal_Zaynab" "1392TahaHusayn_Adib" "1392TahaHusayn_AhlamShahrazad" "1392TahaHusayn_DucaKarawan" "1392TahaHusayn_JannatHayawan" "1392TahaHusayn_MaWaraNahr" "1392TahaHusayn_MucadhdhabunaFiArd" "1392TahaHusayn_OedipusAndTheseus" "1392TahaHusayn_ShajaratBus"
"ثم" 0.506545247581104 0.353097254821921 0.470400434738308 0.41878744926229 0.428683911230352 0.328265376641327 0.28993288590604 0.443279231419356 0.407843416623626 0.401379285179982 0.249111560170023 0.409339690618915 0.561404677817019 0.720604726502471 0.407719943186565 0.953886254609988 0.936634631047402 0.55607476635514 0.333129116250574 0.286902144035184 0.274640259941204 0.372016619963282 0.738802524241958 0.478058666112396 0.412973408541499 0.653685399045223 0.589009770632666 0.572483841181902 0.478149100257069 0.523746116289392 0.442944526471209 0.643669705488269 0.649381428639143 0.468715454344462 0.741566498642885 0.77145612343298 0.558085543352085 0.7079029824765 0.512427372498386 0.367461301731661 0.317380352644836 0.463718740388483 0.423645320197044 0.390496353799106 0.284451278108783 0.35748483881264 0.344371782384862 0.457430384813311 0.463653371654782 0.348292565755234 0.173742468824436 0.491149084211603 0.286601385240029 0.454097437341594 0.35750629318194 0.378395955893221 0.662344325761463 0.474252986757198 0.416702465847581 0.567745474492595 0.396266290947517 0.479316453058247 0.484472387795651 0.29391975636531 0.632503520538463
"عن" 0.429709732498577 0.475558730482702 0.477193220799511 0.460666194188519 0.575952873931936 0.414651002073255 0.43489932885906 0.460527450540732 0.523606831822472 0.586561091751656 0.418089331753885 0.490594385760498 0.428133537682415 0.4132574656311 0.442810594034589 0.438122175082495 0.556551012651355 0.64018691588785 0.528411701638842 0.398570643210555 0.400355871886121 0.481528005926499 0.482273869991278 0.38712359375406 0.438154713940371 0.427866806647782 0.371884600281801 0.523237919359803 0.442159383033419 0.377274744784731 0.232018561484919 0.275858445209258 0.381570839455847 0.389122263984081 0.295657231485072 0.506268081002893 0.299133851236718 0.365556458164094 0.26630083925113 0.362868035460016 0.413098236775819 0.328861759765302 0.438423645320197 0.414020230533992 0.35364212954065 0.44047239067986 0.528732433560596 0.34879066842015 0.409424907133755 0.488410264622283 0.56045957685302 0.35301340427709 0.391688559828039 0.352013517319065 0.496759680788388 0.461170071244864 0.511528833745355 0.515717728768756 0.485436893203884 0.449808008776742 0.563578724903135 0.484526414504533 0.555238017473667 0.400155812882892 0.422464615604936
"لم" 0.381331815594764 0.367384426982345 0.344733892606052 0.306036982153212 0.508879881018343 0.370498349074714 0.454586129753915 0.367387067285303 0.427434148426508 0.364890259254529 0.459898264929273 0.392475508608398 0.386486306390351 0.436100843128297 0.389339126075696 0.260654964922497 0.483249171960689 0.502336448598131 0.522668096186246 0.450109950522265 0.518335138480582 0.418720005153477 0.318095531270843 0.254618202603341 0.282030620467365 0.283263672919597 0.267941699581919 0.307787011388119 0.236503856041131 0.33288948069241 0.42185192997258 0.333657357538817 0.374460823813812 0.424497015255361 0.315044590926716 0.409836065573771 0.334851326011251 0.255309272368574 0.346998063266624 0.431767029534702 0.418136020151133 0.53469609861121 0.576354679802956 0.404610679840038 0.407457236209879 0.693690818172146 0.647001530541255 0.434558865572646 0.493479027141347 0.564474158292966 0.72579515202466 0.573007264913537 0.549319321710055 0.411855815263306 0.5529966257833 0.576462589056079 0.444672481614503 0.611604944670485 0.562763123979723 0.614371914426769 0.575319948338617 0.656455142231947 0.647777687052612 0.754276001274833 0.718428527102179
"قال" 0.724245873648264 0.91437901826717 0.63342730020718 0.705495779911088 0.608031261847132 0.443446210550564 1.14720357941834 0.655432326612277 0.906516589787886 0.884858878692233 0.585325064455439 0.452266699372959 0.776304391284067 0.85143497944096 0.516333862478068 0.390982447383745 0.19547157517511 0.401869158878505 0.744754173686629 0.982682792743266 0.810382175460313 0.415499082036912 0.218049356113078 0.0727480578866689 0.282030620467365 0.158469187647327 1.18263922574088 0.0430901815943367 0.149100257069409 0.0577008433200178 0.021092596498629 0.0840711452066311 0.0497701094942409 0.0619058147247402 0.14540519581233 0.0241080038572806 0.1339405304045 0.127654636184287 0.141220142027114 0.385834366818244 0.110831234256927 0.307568552298483 0.0738916256157636 0.430486944248412 0.484335960023064 0.308543462070433 0.0973980798664255 0.0114357596203328 0.132859738076516 0.104087433444093 0.0672551492223623 0.214877724342576 0.133747313112013 0.158406082793579 0.137914412725617 0.109380081000384 0.0513083632632119 0.12957731878612 0.300713119683822 0.0822819528250137 0.143829987084654 0.448056684380536 0.100704934541793 0.0637416339105492 0.632503520538463
"ولا" 0.388446215139442 0.373507500765384 0.353224875182556 0.4332839378906 0.367443352483159 0.414651002073255 0.329306487695749 0.372561533021716 0.386471709202301 0.321103428143986 0.341439620932339 0.436935624817944 0.374825081628573 0.37587739336296 0.324170774500794 0.188558910794998 0.339360373567899 0.348130841121495 0.421197733190381 0.357339197361187 0.379080922172366 0.310819080748543 0.802934687804628 0.922341448205981 0.851128122481869 1.00231761186934 0.609798350772642 0.369344413665743 0.42159383033419 0.18641810918775 0.168740771989032 0.202296193153456 0.303360667393468 0.340481980986071 0.339278790228771 0.168756027000964 0.218769532994017 0.174074503887664 0.310684312459651 0.500666023609389 0.619647355163728 0.487377859796058 0.482758620689655 0.81863091037403 0.649625216221411 0.43408873284392 0.389592319465702 0.331637028989651 0.322659363900111 0.352295928580007 0.325066554574751 0.332548859101606 0.310484834010031 0.450577302168403 0.320014996518665 0.292665622136163 0.415131302765987 0.837069479358333 0.687344273563021 0.822819528250137 0.842432781495832 0.771074294050224 0.756647886557252 0.350578986508021 0.537031291023224
"حتي" 0.387023335230507 0.463312582916624 0.410963556702782 0.410733844468784 0.522002857892742 0.431928127159641 0.316778523489933 0.595063559687462 0.44702488022939 0.518144168141431 0.384990592990036 0.46299845156147 0.604717798360765 0.49424762221207 0.322499791127078 0.673820813576242 0.572840310582614 0.425233644859813 0.409710522285189 0.273158328752062 0.253365310227449 0.404225851128934 1.00302703812016 0.60796591233859 0.684931506849315 0.782441614008676 0.563601506017139 0.332409972299169 0.298200514138817 0.426098535286285 0.400759333473951 0.367811260279011 0.324690714319572 0.340481980986071 0.533152384645211 0.216972034715526 0.419680328600768 0.551235928977602 0.399451258876695 0.23884984612558 0.36272040302267 0.222395722431211 0.369458128078818 0.242295930369325 0.261387660964828 0.329822321523566 0.330457770975372 0.228715192406656 0.338927903256419 0.35629929140478 0.308252767269161 0.368361813158703 0.257941246716026 0.288651084201633 0.266456001285416 0.227628817217016 0.457110872708615 0.482027625884365 0.34367213678151 0.474492594624246 0.443231184689445 0.239658226529124 0.410985003130018 0.286837352597472 0.441559061507984
"وقد" 0.539271485486625 0.49392795183182 0.536630098835037 0.65073126731525 0.482633927269546 0.5336711971128 0.576286353467562 0.638184107490902 0.534292685533135 0.517231942493295 0.569646714514668 0.510524782682018 0.504764443259812 0.50047763425676 0.533043696215223 0.335523944208746 0.404517565292936 0.521028037383178 0.469061111962016 0.505085211654755 0.586028160297076 0.620027699938802 0.161613052177928 0.194860869339292 0.110797743755036 0.142622268882594 0.161688956644261 0.246229609110496 0.354755784061697 0.350643586329339 0.168740771989032 0.386201823292962 0.22515049533109 0.282998010170241 0.310197751066305 0.241080038572806 0.370568800785784 0.348149007775328 0.25823111684958 0.293969041385329 0.221662468513854 0.274445785127878 0.187192118226601 0.185838626205599 0.30367095906208 0.174486647515693 0.320022262418255 0.125793355823661 0.154551123884927 0.272228672084551 0.196160851898557 0.127903407346772 0.10031048483401 0.168966488313151 0.275828825451235 0.328140243001153 0.20989784971314 0.298027833208075 0.378039350459661 0.370268787712562 0.540096278032171 0.250078149421694 0.381045698266242 0.513474273168313 0.460653507411032
"كان" 0.325839499146272 0.340851107255842 0.302278979723534 0.262547516268282 0.374733895191158 0.374337710205022 0.318568232662192 0.255273642996361 0.242212684108355 0.315630074255168 0.278726221169256 0.404740368252411 0.308189511561271 0.332267309050131 0.248976522683599 0.318886393256246 0.276918064831406 0.432242990654206 0.329300045948844 0.307517866959868 0.39068544019805 0.368795696846716 0.361705402493459 0.345553274961677 0.312248186946011 0.36249826674326 0.316448386575197 0.215450907971684 0.313624678663239 0.403905903240124 0.295296350980806 0.396710716443791 0.417120917666019 0.481980986071192 0.436215587436991 0.265188042430087 0.383962853826234 0.446791226645004 0.342963202065849 0.532818887510909 0.554156171284635 0.582014337426361 0.527093596059113 0.604563632086568 0.818758408610417 0.487285881476753 0.525253930708223 0.291611870318486 0.387733521325344 0.58449097241683 0.378310214375788 0.506497493093216 0.425125388106043 0.53858068149817 0.463285308767608 0.472994944866527 0.497535643764479 0.479436079508643 0.545579517140648 0.41963795940757 0.581190560056358 0.489736375950818 0.508968182684195 0.605545522150218 0.74468339021887
"هذه" 0.283153101878201 0.287784467802837 0.281900621539925 0.320533470781522 0.322241987693564 0.289871765338248 0.372259507829978 0.205253807544371 0.293860977043224 0.260896535366988 0.306598843286182 0.371012004231377 0.246551609249017 0.238817128379782 0.454507477650597 0.277292515874997 0.282347830808492 0.35981308411215 0.243145964159902 0.389980758658604 0.442905771313631 0.381679389312977 0.336052537068391 0.335160695263582 0.463336019339243 0.305053186221104 0.325687755526298 0.320098491843644 0.611825192802057 0.381713271193964 0.442944526471209 0.380947376717547 0.357870787315732 0.331638293168251 0.218107793718496 0.241080038572806 0.401821591213501 0.411976325867471 0.270335700451904 0.523632354967618 0.483627204030227 0.480280123973786 0.660098522167488 0.439896494942366 0.338266384778013 0.4468560485158 0.434812856546542 0.457430384813311 0.517881836175809 0.344289202930462 0.333473448227547 0.29673590504451 0.291378074994029 0.556181357364123 0.578437148519094 0.493688473704437 0.211452648599904 0.746365356208049 0.700231978692328 1.12726275370269 0.675120347540214 0.885693445868501 0.590620832312675 0.499309465632636 0.653984772179392
"الا" 0.379908935685828 0.31431778752934 0.281900621539925 0.336640680368533 0.411186608731154 0.328265376641327 0.277404921700224 0.344964382427514 0.350852196833425 0.334786812866031 0.275242143404641 0.37407821914238 0.336509628839875 0.353034015865764 0.322499791127078 0.321659318414996 0.388228267361677 0.324766355140187 0.373334354418747 0.31610775151182 0.292047036979731 0.291493542049151 0.572058898979016 0.579386318168827 0.448227236099919 0.57445080522156 0.491996396646109 0.104647583871961 0.12853470437018 0.381713271193964 0.358574140476693 0.380947376717547 0.469261032374271 0.451028078708822 0.363512989530826 0.313404050144648 0.388427538173051 0.330741557386561 0.528566817301485 0.532818887510909 0.493702770780856 0.416400501573331 0.389162561576355 0.454010820983298 0.572746492408226 0.476646451750186 0.427855850841798 0.520327062725142 0.4012906374556 0.336282477280916 0.341880341880342 0.286503632456769 0.477668975400048 0.32385243593354 0.317337046757003 0.230585035622432 0.464884867142435 0.47684453313292 0.425294269267119 0.452550740537575 0.569449336620876 0.552255913306242 0.397376228191938 0.630333935337654 0.474974341838318
"له" 0.311610700056915 0.377589549954077 0.322657337907143 0.338251401327234 0.433058236855151 0.472241419027874 0.390156599552573 0.225951670490022 0.352633172451869 0.405028187772527 0.266531948993102 0.32501878056633 0.374825081628573 0.427794160402043 0.315815857632217 0.521309929844993 0.380083618396047 0.450934579439252 0.472890182263746 0.42262231995602 0.336531022744855 0.239958772184108 0.374531835205993 0.296188521395723 0.609387590652699 0.572469940375968 0.783036518605779 0.0307787011388119 0.12853470437018 0.284065690190857 0.337481543978064 0.244331765756772 0.381570839455847 0.300685385805881 0.329585110507949 0.192864030858245 0.370568800785784 0.365556458164094 0.383311814073596 0.372054568003307 0.206549118387909 0.354886791113635 0.472906403940887 0.597506469066102 0.634249471458774 0.310671348015746 0.438291359398915 0.154382754874493 0.203356741953852 0.428359822250691 0.232590724394003 0.41440703980354 0.210174349176021 0.228808786257392 0.348133469016121 0.42865166878529 0.312514576239563 0.253971544820795 0.378039350459661 0.26055951727921 0.522484442878948 0.484526414504533 0.367436923328162 0.276213746945713 0.506002816430771
